ID,SMILES,MW
EN300-312299,Cc1oncc1S(=O)(=O)Cl,181.6
EN300-154826,Cn1nncc1S(=O)(=O)Cl,181.6
EN300-105939,Cc1nocc1S(=O)(=O)Cl,181.6
EN300-157997,Cn1cc(S(=O)(=O)Cl)nn1,181.6
EN300-244492,Cc1nnc(S(=O)(=O)F)s1,182.2
EN300-306450,Nc1ncc(S(=O)(=O)F)s1,182.2
EN300-1663673,Cc1nonc1S(=O)(=O)Cl,182.59
EN300-18935,O=S(=O)(Cl)c1cccs1,182.65
EN300-78571,O=S(=O)(Cl)c1ccsc1,182.65
EN300-729348,O=c1[nH]cc(S(=O)(=O)F)s1,183.18
EN300-384284,O=S(=O)(Cl)c1ccns1,183.64
EN300-182519,O=S(=O)(Cl)c1cscn1,183.64
EN300-195088,O=S(=O)(Cl)c1cncs1,183.64
EN300-108622,O=S(=O)(Cl)c1cnsc1,183.64
EN300-7014136,O=S(=O)(Cl)c1cn[nH]c1F,184.58
EN300-734952,N#Cc1ccnc(S(=O)(=O)F)c1,186.16
EN300-1696928,N#Cc1cc(S(=O)(=O)F)ccn1,186.16
EN300-79954,N#Cc1ccc(S(=O)(=O)F)nc1,186.16
EN300-1584282,N#Cc1cccc(S(=O)(=O)F)n1,186.16
EN300-1584379,N#Cc1ccncc1S(=O)(=O)F,186.16
EN300-79953,N#Cc1cccnc1S(=O)(=O)F,186.16
EN300-366977,N#Cc1nccnc1S(=O)(=O)F,187.15
EN300-7445051,O=Cc1cccc(S(=O)(=O)F)n1,189.16
EN300-1583750,Cc1cnc(S(=O)(=O)F)c(C)c1,189.21
EN300-631742,CCc1cncc(S(=O)(=O)F)c1,189.21
EN300-1659246,Cc1cc(S(=O)(=O)F)cc(C)n1,189.21
EN300-1583565,Cc1cc(C)nc(S(=O)(=O)F)n1,190.2
EN300-734951,COc1cccc(S(=O)(=O)F)n1,191.18
EN300-1270601,COc1cc(S(=O)(=O)F)ccn1,191.18
EN300-728589,COc1ccncc1S(=O)(=O)F,191.18
EN300-1991308,COc1ccnc(S(=O)(=O)F)c1,191.18
EN300-1583409,COc1ccc(S(=O)(=O)F)nc1,191.18
EN300-7442928,O=S(=O)(F)c1cccc(CO)n1,191.18
EN300-1583423,COc1cccnc1S(=O)(=O)F,191.18
EN300-6486243,N#Cc1occc1S(=O)(=O)Cl,191.59
EN300-211053,N#Cc1ccc(S(=O)(=O)Cl)o1,191.59
EN300-2009606,N#Cc1ccoc1S(=O)(=O)Cl,191.59
EN300-106782,Cc1cncc(S(=O)(=O)Cl)c1,191.64
EN300-152187,Cc1cccc(S(=O)(=O)Cl)n1,191.64
EN300-274962,Cc1ncccc1S(=O)(=O)Cl,191.64
EN300-179763,Cc1ccncc1S(=O)(=O)Cl,191.64
EN300-396073,COc1ncc(S(=O)(=O)F)cn1,192.17
EN300-366995,COc1nccnc1S(=O)(=O)F,192.17
EN300-1582825,CCCn1ccnc1S(=O)(=O)F,192.21
EN300-301617,CC(C)n1ccnc1S(=O)(=O)F,192.21
EN300-26871892,Cc1nc(S(=O)(=O)F)n(C)c1C,192.21
EN300-276070,Nc1ccc(S(=O)(=O)Cl)cn1,192.62
EN300-224150,O=C(O)c1cc(S(=O)(=O)F)c[nH]1,193.15
EN300-27116039,Cc1cc(F)ncc1S(=O)(=O)F,193.17
EN300-6759645,Cc1cnc(F)c(S(=O)(=O)F)c1,193.17
EN300-26571398,Cc1cc(S(=O)(=O)F)ncc1F,193.17
EN300-1582684,CC(C)n1ncnc1S(=O)(=O)F,193.2
EN300-1725578,Cc1nn(C)c(N)c1S(=O)(=O)F,193.2
EN300-79570,Nc1ncc(S(=O)(=O)Cl)cn1,193.61
EN300-283154,O=S(=O)(Cl)c1cccnc1O,193.61
EN300-27117792,O=C(O)c1cc(S(=O)(=O)F)[nH]n1,194.14
EN300-27712968,O=C(O)c1ccn(S(=O)(=O)F)n1,194.14
EN300-729121,O=C(O)c1ccc(S(=O)(=O)F)o1,194.14
EN300-116694,O=c1[nH]cc(S(=O)(=O)F)c(=O)[nH]1,194.14
EN300-27117687,O=C(O)c1c[nH]c(S(=O)(=O)F)n1,194.14
EN300-1585201,Cc1cn(C)nc1S(=O)(=O)Cl,194.64
EN300-190295,Cc1c(S(=O)(=O)Cl)cnn1C,194.64
EN300-210129,Cc1cnn(C)c1S(=O)(=O)Cl,194.64
EN300-78507,Cc1ncc(S(=O)(=O)Cl)n1C,194.64
EN300-1693083,CCc1ccc(S(=O)(=O)Cl)o1,194.64
EN300-141601,CCn1nccc1S(=O)(=O)Cl,194.64
EN300-279596,CCn1ccc(S(=O)(=O)Cl)n1,194.64
EN300-98580,CCn1cncc1S(=O)(=O)Cl,194.64
EN300-78508,Cc1nn(C)cc1S(=O)(=O)Cl,194.64
EN300-58948,Cc1nc(S(=O)(=O)Cl)cn1C,194.64
EN300-248472,CCc1n[nH]cc1S(=O)(=O)Cl,194.64
EN300-66811,CCn1cc(S(=O)(=O)Cl)cn1,194.64
EN300-232475,Cc1cc(S(=O)(=O)Cl)n(C)n1,194.64
EN300-98564,CCn1cnc(S(=O)(=O)Cl)c1,194.64
EN300-78579,Cc1cc(S(=O)(=O)Cl)c(C)o1,194.64
EN300-97701,Cc1cc(S(=O)(=O)Cl)nn1C,194.64
EN300-10346,Cc1n[nH]c(C)c1S(=O)(=O)Cl,194.64
EN300-1583790,Cc1nc(S(=O)(=O)F)sc1C,195.24
EN300-1583055,CCc1csc(S(=O)(=O)F)n1,195.24
EN300-1587323,Cc1sc(S(=O)(=O)F)cc1N,195.24
EN300-109493,O=S(=O)(Cl)c1ncccc1F,195.6
EN300-727108,O=S(=O)(F)c1cnccc1Cl,195.6
EN300-78517,O=S(=O)(Cl)c1cccc(F)n1,195.6
EN300-112774,O=S(=O)(Cl)c1ccc(F)nc1,195.6
EN300-1697446,O=S(=O)(Cl)c1cc(F)ccn1,195.6
EN300-55881,O=S(=O)(Cl)c1cncc(F)c1,195.6
EN300-2003293,O=S(=O)(F)c1cccc(Cl)n1,195.6
EN300-1270593,O=S(=O)(F)c1ccncc1Cl,195.6
EN300-226205,O=S(=O)(F)c1ccnc(Cl)c1,195.6
EN300-1991342,O=S(=O)(F)c1cc(Cl)ccn1,195.6
EN300-1725605,O=S(=O)(Cl)c1ccnc(F)c1,195.6
EN300-260845,O=S(=O)(Cl)c1cccnc1F,195.6
EN300-1584414,O=S(=O)(F)c1ncccc1Cl,195.6
EN300-1584231,O=S(=O)(F)c1ccc(Cl)cn1,195.6
EN300-7466718,Cc1nc(C)c(S(=O)(=O)Cl)o1,195.62
EN300-6740590,CCc1cc(S(=O)(=O)Cl)on1,195.62
EN300-11306,Cc1noc(C)c1S(=O)(=O)Cl,195.62
EN300-26862377,CCc1nocc1S(=O)(=O)Cl,195.62
EN300-1722569,CCc1ncc(S(=O)(=O)Cl)o1,195.62
EN300-702764,Cc1nnn(C)c1S(=O)(=O)Cl,195.63
EN300-282012,CCn1nncc1S(=O)(=O)Cl,195.63
EN300-764544,CCn1ncc(S(=O)(=O)Cl)n1,195.63
EN300-747139,CCn1cc(S(=O)(=O)Cl)nn1,195.63
EN300-87431,O=S(=O)(F)c1ccc(Cl)nn1,196.59
EN300-26678991,O=S(=O)(F)c1ccnc(Cl)n1,196.59
EN300-371900,O=S(=O)(F)c1cncc(Cl)n1,196.59
EN300-379608,O=S(=O)(F)c1nccnc1Cl,196.59
EN300-399892,O=S(=O)(F)c1cnc(Cl)nc1,196.59
EN300-1584374,O=S(=O)(F)c1cnc(Cl)cn1,196.59
EN300-194325,Cc1onc(N)c1S(=O)(=O)Cl,196.61
EN300-7443477,CCc1nonc1S(=O)(=O)Cl,196.61
EN300-276114,Cc1sccc1S(=O)(=O)Cl,196.68
EN300-85700,Cc1ccsc1S(=O)(=O)Cl,196.68
EN300-22215,Cc1ccc(S(=O)(=O)Cl)s1,196.68
EN300-246461,Cc1csc(S(=O)(=O)Cl)c1,196.68
EN300-137779,Cc1cc(S(=O)(=O)Cl)cs1,196.68
EN300-309102,O=S(=O)(F)c1c(F)cncc1F,197.14
EN300-6485994,O=S(=O)(F)c1c(F)ccnc1F,197.14
EN300-6478922,O=S(=O)(F)c1cc(F)ncc1F,197.14
EN300-26678818,O=S(=O)(F)c1cnc(F)cc1F,197.14
EN300-26690454,O=S(=O)(F)c1ccnc(F)c1F,197.14
EN300-224061,COc1ncc(S(=O)(=O)F)s1,197.21
EN300-45423254,Cc1onc(O)c1S(=O)(=O)Cl,197.6
EN300-183255,Cc1cc(S(=O)(=O)Cl)sn1,197.66
EN300-99059,Cc1ncc(S(=O)(=O)Cl)s1,197.66
EN300-148832,Cc1csc(S(=O)(=O)Cl)n1,197.66
EN300-7354824,Cc1cnsc1S(=O)(=O)Cl,197.66
EN300-28315607,Cc1scnc1S(=O)(=O)Cl,197.66
EN300-181092,Cc1nc(S(=O)(=O)Cl)cs1,197.66
EN300-6826962,Cn1ncc(S(=O)(=O)Cl)c1F,198.6
EN300-7354209,Cn1c(Cl)cnc1S(=O)(=O)F,198.6
EN300-87389,O=c1[nH]cc(S(=O)(=O)Cl)s1,199.64
EN300-6505144,O=S(=O)(F)c1ccoc1C(F)F,200.14
EN300-246699,O=S(=O)(F)c1ncc2ccccn12,200.19
EN300-817897,O=S(=O)(F)c1coc2ccccc12,200.19
EN300-338155,O=S(=O)(F)c1nc2ccccc2[nH]1,200.19
