ID,SMILES,MW
EN300-119441,C#CCCl,74.51
EN300-19495,N#CCCl,75.5
EN300-19790,C=CCCl,76.52
EN300-19136,O=CCCl,78.5
EN300-139045,CC(C)Cl,78.54
EN300-7474149,[2H]C([2H])([2H])OCCl,83.53
EN300-71866,C#CCCCl,88.54
EN300-6451615,C=C=CCCl,88.54
EN300-17422,CC(Cl)C#N,89.52
EN300-17524,N#CCCCl,89.52
EN300-15382,CC=CCCl,90.55
EN300-115093,ClC1CCC1,90.55
EN300-49238,ClCC1CC1,90.55
EN300-262194,C=CCCCl,90.55
EN300-20997,C=C(C)CCl,90.55
EN300-49169,C=CC(C)Cl,90.55
EN300-706224,OC1CC1Cl,92.52
EN300-54611,ClC[C@H]1CO1,92.52
EN300-761649,O[C@@H]1C[C@@H]1Cl,92.52
EN300-54612,ClC[C@@H]1CO1,92.52
EN300-90591,CC(Cl)C=O,92.52
EN300-19215,ClCC1CO1,92.52
EN300-19980,CC(C)CCl,92.57
EN300-19789,CCC(C)Cl,92.57
EN300-29211,CC(C)(C)Cl,92.57
EN300-19284,CCCCCl,92.57
EN300-18249,NC(=O)CCl,93.51
EN300-114849,C=C(F)CCl,94.52
EN300-39011,CC(O)CCl,94.54
EN300-22342,OCCCCl,94.54
EN300-722300,COC(C)Cl,94.54
EN300-39016,CCOCCl,94.54
EN300-91182,CC(Cl)CO,94.54
EN300-23908,COCCCl,94.54
EN300-79429,CSCCl,96.58
EN300-7569660,OCC(F)Cl,98.5
EN300-37267531,C#C[C@@H]1C[C@H]1Cl,100.55
EN300-192801,C=C(C#N)CCl,101.53
EN300-7572173,N#C/C=C/CCl,101.53
EN300-93758,ClC1C=CCC1,102.56
EN300-96068,C#CC(C)(C)Cl,102.56
EN300-93546,C#CCCCCl,102.56
EN300-20802,N#CCCCCl,103.55
EN300-56115,CCC(Cl)C#N,103.55
EN300-1240331,CC(C#N)CCl,103.55
EN300-27736316,[C-]#[N+]CCCCl,103.55
EN300-115106,CC(C)(Cl)C#N,103.55
EN300-27081970,O=C[C@@H]1C[C@H]1Cl,104.53
EN300-137220,O=C1CCC1Cl,104.53
EN300-83765,OCC#CCCl,104.53
EN300-223459,C#CCOCCl,104.53
EN300-310113,O=CC1CC1Cl,104.53
EN300-300877,C=CC(=O)CCl,104.53
EN300-95151,ClCC1CCC1,104.58
EN300-4251779,C=C(C)C(C)Cl,104.58
EN300-1262786,ClC1CCCC1,104.58
EN300-172719,C=CCCCCl,104.58
EN300-4997570,C/C=C(\C)CCl,104.58
EN300-98480,CC(Cl)C1CC1,104.58
EN300-21160,CC(C)=CCCl,104.58
EN300-142274,ClCCC1CC1,104.58
EN300-1985310,CCC=CCCl,104.58
EN300-53113,O=CC(Cl)C=O,106.51
EN300-16462,CC(=O)C(C)Cl,106.55
EN300-59728,CCC(=O)CCl,106.55
EN300-75454,ClC1CCOC1,106.55
EN300-100191,C=CCOCCl,106.55
EN300-117163,ClCC1COC1,106.55
EN300-1663076,OC/C=C/CCl,106.55
EN300-266912,ClCCC1CO1,106.55
EN300-86275,CC1(CCl)CO1,106.55
EN300-52443,CC(=O)CCCl,106.55
EN300-254266,O[C@H]1C[C@H](Cl)C1,106.55
EN300-112428,OCC1CC1Cl,106.55
EN300-95959,C=COCCCl,106.55
EN300-41012,O=CCCCCl,106.55
EN300-7434827,CC1OC1CCl,106.55
EN300-60819,CCC(C)CCl,106.59
EN300-113428,CCC(C)(C)Cl,106.59
EN300-68376,CC(C)C(C)Cl,106.59
EN300-19877,CC(C)CCCl,106.59
EN300-176712,CCCCCCl,106.59
EN300-53733,NC(=O)CCCl,107.54
EN300-01998,CNC(=O)CCl,107.54
EN300-17381,CC(Cl)C(N)=O,107.54
EN300-19700,COC(=O)CCl,108.52
EN300-202074,CC(=O)OCCl,108.52
EN300-244160,CC(Cl)CCO,108.57
EN300-20000,OCCCCCl,108.57
EN300-160078,CC(C)OCCl,108.57
EN300-51716,CCOCCCl,108.57
EN300-332479,CCCOCCl,108.57
EN300-225671,CCC(O)CCl,108.57
EN300-131987,CCOC(C)Cl,108.57
EN300-222363,CCC(Cl)CO,108.57
EN300-196504,COC(C)CCl,108.57
EN300-42679,COCCCCl,108.57
EN300-172812,CC(O)CCCl,108.57
EN300-93821,CC(C)(O)CCl,108.57
EN300-199266,CC(O)C(C)Cl,108.57
EN300-129675,ClCC1CS1,108.59
EN300-19276,CCBr,108.97
