ID,SMILES,Scaffold
EN300-14193,COC(=O)CCS(=O)(=O)Cl,0
EN300-24719,COC(=O)c1ccc(S(=O)(=O)Cl)s1,0
EN300-29869,CCOC(=O)c1cccc(S(=O)(=O)Cl)c1,0
EN300-31545,CCOC(=O)C1CCCN1S(=O)(=O)Cl,0
EN300-24083,COC(=O)c1sccc1S(=O)(=O)Cl,0
EN300-36300,CCOC(=O)C1CCCCN1S(=O)(=O)Cl,0
EN300-30560,COC(=O)c1ccc(C)c(S(=O)(=O)Cl)c1,0
EN300-36517,COC(=O)c1cccc(CS(=O)(=O)Cl)c1,0
EN300-49656,CCOC(=O)CCCS(=O)(=O)Cl,0
EN300-36645,CCOC(=O)c1ccc(S(=O)(=O)Cl)o1,0
EN300-51864,CCOC(=O)CCS(=O)(=O)Cl,0
EN300-54849,COC(=O)c1ccc(OC)c(S(=O)(=O)Cl)c1,0
EN300-54851,COC(=O)c1csc(S(=O)(=O)Cl)c1,0
EN300-54855,COC(=O)c1cc(S(=O)(=O)Cl)ccc1C,0
EN300-52458,COC(=O)C(C)S(=O)(=O)Cl,0
EN300-54850,COC(=O)Cc1ccc(S(=O)(=O)Cl)s1,0
EN300-51711,COC(=O)c1ccc(Br)c(S(=O)(=O)Cl)c1,0
EN300-61171,O=Cc1ccccc1S(=O)(=O)Cl,0
EN300-60312,COC(=O)c1c(C)cccc1S(=O)(=O)Cl,0
EN300-65538,CCOC(=O)c1sc2ncc(S(=O)(=O)Cl)cc2c1C,0
EN300-62464,COC(=O)c1ccc(S(=O)(=O)Cl)c(Cl)c1,0
EN300-71536,COC(=O)c1ccc(C(F)(F)F)cc1S(=O)(=O)Cl,0
EN300-79480,O=Cc1ccc(S(=O)(=O)Cl)cc1,0
EN300-82150,COC(=O)c1cc(F)cc(S(=O)(=O)Cl)c1Br,0
EN300-91372,CCOC(=O)CN(C)S(=O)(=O)Cl,0
EN300-89844,COC(=O)c1nccc2c(S(=O)(=O)Cl)cccc12,0
EN300-91245,COC(=O)c1c(F)ccc(S(=O)(=O)Cl)c1F,0
EN300-97080,COC(=O)c1ccc(S(=O)(=O)Cl)cc1Cl,0
EN300-103901,CCOC(=O)c1cc(Br)c(OC)c(S(=O)(=O)Cl)c1,0
EN300-93602,COC(=O)Cn1cc(S(=O)(=O)Cl)cn1,0
EN300-94625,COC(=O)c1ccccc1CS(=O)(=O)F,0
EN300-100208,COC(=O)C(C)CS(=O)(=O)Cl,0
EN300-101267,COC(=O)C(F)(F)S(=O)(=O)F,0
EN300-78000,COC(=O)c1cc(Br)c(S(=O)(=O)Cl)s1,0
EN300-105298,COC(=O)c1cc(S(=O)(=O)Cl)cc(F)c1F,0
EN300-97357,COC(=O)CC1(CS(=O)(=O)F)CC1,0
EN300-54852,COC(=O)c1cc(C)c(C)c(S(=O)(=O)Cl)c1,0
EN300-68471,CCOC(=O)c1ccc(Br)c(S(=O)(=O)Cl)c1,0
EN300-115645,COC(=O)c1ccc(OC)cc1S(=O)(=O)Cl,0
EN300-54853,COC(=O)c1cc(S(=O)(=O)Cl)ccc1Cl,0
EN300-30736,CCOC(=O)C1CCN(S(=O)(=O)Cl)CC1,0
EN300-30809,CCOC(=O)c1ccc(S(=O)(=O)Cl)c(Br)c1,0
EN300-60859,COC(=O)c1ccc(S(=O)(=O)Cl)c(C)c1,0
EN300-66204,COC(=O)c1ccc(F)cc1S(=O)(=O)Cl,0
EN300-88933,COC(=O)c1cc(S(=O)(=O)Cl)c(Br)o1,0
EN300-31554,COC(=O)CCCS(=O)(=O)Cl,0
EN300-93081,COC(=O)c1ccc(S(=O)(=O)Cl)c(Br)c1,0
EN300-112594,CCOC(=O)c1c(Cl)c2ncc(S(=O)(=O)Cl)cc2n1C,0
EN300-36173,COC(=O)c1ccc(CS(=O)(=O)Cl)cc1,0
EN300-99134,COC(=O)c1sc(-c2ccccc2Cl)cc1S(=O)(=O)Cl,0
EN300-105299,COC(=O)c1cc(S(=O)(=O)Cl)c(Cl)cc1F,0
EN300-75359,COC(=O)c1sc(-c2ccccc2)cc1S(=O)(=O)Cl,0
EN300-114533,CCOC(=O)c1cccnc1S(=O)(=O)F,0
EN300-124624,COC(=O)c1ccc(S(=O)(=O)Cl)cn1,0
EN300-122578,COC(=O)c1cc(I)cc(S(=O)(=O)Cl)c1,0
