ID,SMILES,MW
EN300-19152,CC=O,44.05
EN300-76056,C#CC=O,54.05
EN300-19153,CCC=O,58.08
EN300-224725,CC#CC=O,68.07
EN300-43935,O=CC1CC1,70.09
EN300-19749,C=C(C)C=O,70.09
EN300-103531,O=CC1CO1,72.06
EN300-19563,CC(C)C=O,72.11
EN300-18029,CCCC=O,72.11
EN300-99260,COCC=O,74.08
EN300-6743065,CCC#CC=O,82.1
EN300-1240585,N#CCCC=O,83.09
EN300-20147948,C[C@H]1C[C@H]1C=O,84.12
EN300-106327,CC1CC1C=O,84.12
EN300-84961,O=CCC1CC1,84.12
EN300-321467,CC/C=C/C=O,84.12
EN300-6193923,C[C@H]1C[C@@H]1C=O,84.12
EN300-20147,C=C(C=O)CC,84.12
EN300-182105,CC1(C=O)CC1,84.12
EN300-128781,C=CCCC=O,84.12
EN300-55189,CC(C)=CC=O,84.12
EN300-304066,C/C=C(\C)C=O,84.12
EN300-71825,O=CC1CCC1,84.12
EN300-133813,O=CC1COC1,86.09
EN300-26307,CCC(C)C=O,86.13
EN300-53815,CC(C)(C)C=O,86.13
EN300-19158,CCCCC=O,86.13
EN300-18032,CC(C)CC=O,86.13
EN300-215931,CN(C)CC=O,87.12
EN300-157825,O=CC1(F)CC1,88.08
EN300-223023,COC(C)C=O,88.11
EN300-133387,COCCC=O,88.11
EN300-1725354,CC(C)(F)C=O,90.1
EN300-160338,N#CC1(C=O)CC1,95.1
EN300-20526,O=Cc1ccc[nH]1,95.1
EN300-85521,O=Cc1cc[nH]c1,95.1
EN300-311425,N#CC1CC1C=O,95.1
EN300-18110,O=Cc1ccco1,96.08
EN300-66749,O=Cc1ccoc1,96.08
EN300-50613,O=Cc1cnc[nH]1,96.09
EN300-36665,O=Cc1cc[nH]n1,96.09
EN300-62758,O=Cc1cn[nH]c1,96.09
EN300-52542,O=Cc1ncc[nH]1,96.09
EN300-90320,C#CCCCC=O,96.13
EN300-1703910,C=C1CC(C=O)C1,96.13
EN300-6738636,O=CC1CC=CC1,96.13
EN300-345564,O=CC12CC(C1)C2,96.13
EN300-137440,O=CC1=CCCC1,96.13
EN300-262578,O=CC=CC1CC1,96.13
EN300-313622,O=CC1CC12CC2,96.13
EN300-113666,CC=CC=CC=O,96.13
EN300-2962561,CC#CCCC=O,96.13
EN300-108918,O=Cc1cnoc1,97.07
EN300-100908,O=Cc1cocn1,97.07
EN300-83934,O=Cc1ccno1,97.07
EN300-102674,O=Cc1ccon1,97.07
EN300-73499,O=Cc1cnco1,97.07
EN300-103208,O=Cc1ncco1,97.07
EN300-101831,O=Cc1nnc[nH]1,97.08
EN300-183420,O=Cc1c[nH]nn1,97.08
EN300-172535,CC(C)(C#N)C=O,97.12
EN300-183140,N#CCCCC=O,97.12
EN300-21706,O=CC(F)(F)F,98.02
EN300-254885,O=Cc1cnon1,98.06
EN300-6972767,COCC#CC=O,98.1
EN300-6193915,O=CC1=CCCO1,98.1
EN300-195777,C=CCCCC=O,98.14
EN300-343704,CCC1(C=O)CC1,98.14
EN300-1830651,CC1(CC=O)CC1,98.14
EN300-2964850,C=CCC(C)C=O,98.14
EN300-381207,CC/C=C(\C)C=O,98.14
EN300-91984,CC(C=O)C1CC1,98.14
EN300-378443,CC1CC1(C)C=O,98.14
EN300-104109,CC1(C=O)CCC1,98.14
EN300-726340,CC1(C)C[C@@H]1C=O,98.14
EN300-1720986,C=C(C)CCC=O,98.14
EN300-321079,CC1(C)CC1C=O,98.14
EN300-3211580,CC[C@@H]1C[C@H]1C=O,98.14
EN300-1692335,CC(C)/C=C/C=O,98.14
EN300-4115803,C[C@H]1C(C=O)[C@@H]1C,98.14
EN300-2935324,CCC1CC1C=O,98.14
EN300-193295,O=CCCC1CC1,98.14
EN300-246918,O=CCC1CCC1,98.14
EN300-373462,CCC/C=C/C=O,98.14
EN300-57255,O=CC1CCCC1,98.14
EN300-7135365,O=CC1=NOCC1,99.09
EN300-366148,CN(C)/C=C/C=O,99.13
EN300-302256,CC1(C)OC1C=O,100.12
EN300-179315,CC1(C=O)COC1,100.12
EN300-188849,COC1(C=O)CC1,100.12
EN300-396135,O=CCC1COC1,100.12
EN300-24546,O=CC1CCOC1,100.12
EN300-105963,CC(C)CCC=O,100.16
EN300-33498,CCCCCC=O,100.16
EN300-20417,CCC(C=O)CC,100.16
EN300-66394,CC(C)(C)CC=O,100.16
EN300-91173,CCC(C)(C)C=O,100.16
EN300-140906,CC(C)C(C)C=O,100.16
EN300-26308,CCCC(C)C=O,100.16
EN300-156186,CCC(C)CC=O,100.16
EN300-2065120,CC(=O)OCC=O,102.09
EN300-4180732,O=C[C@H]1C[C@H](F)C1,102.11
EN300-1826942,O=CC1(CF)CC1,102.11
EN300-156067,COCCCC=O,102.13
EN300-253710,COC(C)(C)C=O,102.13
EN300-123851,O=CCCCCO,102.13
EN300-188492,CCOCCC=O,102.13
EN300-105375,COCC(C)C=O,102.13
EN300-1725405,CCOC(C)C=O,102.13
EN300-2972839,COC(C)CC=O,102.13
EN300-108646,CC(C)(C=O)CO,102.13
EN300-2977620,O=CC1CSC1,102.15
EN300-69751,COC(C=O)OC,104.1
EN300-1085916,CC(C)(C=O)CF,104.12
EN300-136149,CCSCC=O,104.17
EN300-20267,CSCCC=O,104.17
EN300-2085724,C/C=C(\Cl)C=O,104.53
EN300-243985,O=CC1CC1(F)F,106.07
EN300-18111,O=Cc1ccncc1,107.11
EN300-18999,O=Cc1ccccn1,107.11
EN300-18992,O=Cc1cccnc1,107.11
EN300-1930477,CC(F)(F)CC=O,108.09
EN300-1934616,O=CCCC(F)F,108.09
EN300-209195,O=Cc1ccnnc1,108.1
EN300-65142,O=Cc1cnccn1,108.1
EN300-56173,O=Cc1ncccn1,108.1
EN300-65143,O=Cc1cncnc1,108.1
EN300-117823,O=Cc1cccnn1,108.1
EN300-2967331,N#CCC1(C=O)CC1,109.13
EN300-105063,Cc1c[nH]cc1C=O,109.13
EN300-157815,C=C(C=O)CCC#N,109.13
EN300-20969,Cn1cccc1C=O,109.13
EN300-96446,Cn1ccc(C=O)c1,109.13
EN300-120127,Cc1ccc(C=O)[nH]1,109.13
EN300-1609013,N#CC1CC(C=O)C1,109.13
EN300-1142691,N#CC1(CC=O)CC1,109.13
EN300-92084,Cc1coc(C=O)c1,110.11
EN300-31477,Cn1nccc1C=O,110.11
EN300-1826552,O=CCc1ccco1,110.11
EN300-306019,Cc1c[nH]c(C=O)n1,110.11
EN300-66934,Cc1cc(C=O)[nH]n1,110.11
EN300-65153,Cc1nc(C=O)c[nH]1,110.11
EN300-61999,Cn1ccnc1C=O,110.11
EN300-31214,Cc1n[nH]cc1C=O,110.11
EN300-92042,Cc1ccoc1C=O,110.11
EN300-100819,Cn1cnc(C=O)c1,110.11
EN300-17263,Cc1ccc(C=O)o1,110.11
EN300-14236,Cn1cc(C=O)cn1,110.11
EN300-252932,Cc1occc1C=O,110.11
EN300-65152,Cc1nc[nH]c1C=O,110.11
EN300-207898,Cc1cocc1C=O,110.11
EN300-66940,Cn1ccc(C=O)n1,110.11
EN300-66979,Cn1cncc1C=O,110.11
EN300-182135,O=CC1CC2(CC2)C1,110.15
EN300-90427,CC#CCCCC=O,110.15
EN300-1218184,C#CCC(C)(C)C=O,110.15
EN300-26980653,O=CC1CC2CC1C2,110.15
EN300-18427,O=CC1CC=CCC1,110.15
EN300-6763709,O=CC12CCC(C1)C2,110.15
EN300-318583,O=CC1C2CCCC12,110.15
EN300-1829152,CCC=CC=CC=O,110.15
EN300-2520459,O=CC1C=CCCC1,110.15
EN300-6189593,O=CCC1C=CCC1,110.15
EN300-98672,O=CC1=CCCCC1,110.15
