ID,SMILES,Scaffold
EN300-66302,[N-]=[N+]=Nc1ccnc(C(N)=O)c1,0
EN300-133765,[N-]=[N+]=NC(Cc1ccccc1)C(N)=O,0
EN300-254888,[N-]=[N+]=NC1(C(N)=O)CC1,0
EN300-299380,[N-]=[N+]=NCc1nc(C(N)=O)cs1,0
EN300-174292,[N-]=[N+]=NCC(N)=O,0
EN300-277279,[N-]=[N+]=Nc1ccc(C(N)=O)cc1,0
EN300-7827117,[N-]=[N+]=Nc1cccc(C(N)=O)c1,0
EN300-37328035,[N-]=[N+]=NCc1ccc(-c2ccccc2C(N)=O)cc1,0
EN300-46792710,C#CC1(CCN=[N+]=[N-])CC1,0
EN300-781765,C#CCCCN=[N+]=[N-],0
EN300-19197389,C#CCOCCOCCOCCOCCN=[N+]=[N-],0
EN300-26621931,CCOC(C#CCN=[N+]=[N-])OCC,0
EN300-273087,C#CCCN=[N+]=[N-],0
EN300-137341,[N-]=[N+]=NCC(O)C(F)(F)F,0
EN300-180785,[N-]=[N+]=Nc1ccc(CO)cc1,0
EN300-184344,[N-]=[N+]=NC[C@H](O)c1ccc(F)cc1,0
EN300-187980,[N-]=[N+]=Nc1ccccc1CO,0
EN300-188103,[N-]=[N+]=Nc1cc(Br)ccc1O,0
EN300-203876,COC[C@H](O)CN=[N+]=[N-],0
EN300-203877,COC[C@@H](O)CN=[N+]=[N-],0
EN300-202740,[N-]=[N+]=NC[C@@H](O)c1cccc(Br)c1,0
EN300-211586,[N-]=[N+]=NC[C@H](O)Cc1ccccc1,0
EN300-206658,[N-]=[N+]=NC[C@@H](O)Cc1ccccc1,0
EN300-214998,Cc1ccc(C(O)C(C)N=[N+]=[N-])cc1,0
EN300-221508,[N-]=[N+]=NC[C@@H](O)c1ccc(Cl)cc1,0
EN300-221509,[N-]=[N+]=NC[C@H](O)c1ccc(Cl)cc1,0
EN300-222310,[N-]=[N+]=NCC(O)Cc1cccc(F)c1,0
EN300-203713,[N-]=[N+]=NCC(O)c1ccccc1,0
EN300-183181,[N-]=[N+]=Nc1cccc(CO)c1,0
EN300-253797,[N-]=[N+]=Nc1ccc(O)cc1[N+](=O)[O-],0
EN300-257940,[N-]=[N+]=Nc1ccc(CO)c(F)c1,0
EN300-159716,CC(O)CN=[N+]=[N-],0
EN300-54800,[N-]=[N+]=NCCO,0
EN300-54802,[N-]=[N+]=NCCCO,0
EN300-309041,[N-]=[N+]=NCC1(O)CCNC1,0
EN300-312005,[N-]=[N+]=N[C@@H]1CC[C@H]1O,0
EN300-306457,[N-]=[N+]=Nc1ccc(Cl)cc1O,0
EN300-342739,CCC(O)CN=[N+]=[N-],0
EN300-370507,[N-]=[N+]=NC[C@@H](O)c1ccc(Br)cc1,0
EN300-367548,[N-]=[N+]=NC[C@H](O)c1ccc(Br)cc1,0
