ID,SMILES,Scaffold
EN300-19988,O=C(Cl)N(c1ccccc1)c1ccccc1,0
EN300-21157,CCOC(=O)CC(=O)Cl,0
EN300-90374,O=C(Cl)c1cccc(F)c1,0
EN300-25763,O=C(Cl)c1ccccc1C(=O)c1ccc(-c2ccccc2)cc1,0
EN300-24751,COc1cccc(C(=O)Cl)c1,0
EN300-00880,O=C(Cl)c1cc(Cl)nc2ccccc12,0
EN300-24330,O=C(Cl)c1cc(Cl)nc(Cl)n1,0
EN300-44905,O=C(Cl)C1CCOCC1,0
EN300-00865,O=C(Cl)c1cc(Cl)nnc1Cl,0
EN300-31105,O=C(Cl)OCC(F)(F)F,0
EN300-42124,O=C(Cl)Cc1ccsc1,0
EN300-45221,Cc1ncsc1C(=O)Cl,0
EN300-36926,CCN(CC)S(=O)(=O)c1ccc(OC)c(C(=O)Cl)c1,0
EN300-37076,O=C(Cl)Cc1c(Cl)cccc1Cl,0
EN300-52418,CCN(C(=O)Cl)C(C)C,0
EN300-91213,O=C(Cl)c1cnc(Cl)nc1Cl,0
EN300-65949,O=C(Cl)OC(CCl)CCl,0
EN300-60573,O=C(Cl)C1CC2CCC1C2,1
EN300-62249,CC(C)(C(=O)Cl)c1ccccc1,0
EN300-75033,O=C(Cl)CC1CC1,0
EN300-81590,COc1ccccc1CC(=O)Cl,0
EN300-98363,O=C(Cl)c1cc([N+](=O)[O-])ccc1Br,0
EN300-105315,Cc1cc(C(=O)Cl)sc1C,0
EN300-105706,N#CCC(=O)Cl,0
EN300-110725,O=C(Cl)CCCc1ccccc1,0
EN300-110726,O=C(Cl)Cc1cccc2ccccc12,0
EN300-113888,CC(C)C(Br)C(=O)Cl,0
EN300-112736,Cc1nc(C)c(C(=O)Cl)o1,0
EN300-55340,O=C(Cl)c1ccccn1,0
EN300-101862,CC(C)(C)OC(=O)C(=O)Cl,0
EN300-69079,CC(C)CCC(=O)Cl,0
EN300-36788,O=C(Cl)c1cccnc1Cl,0
EN300-113061,Cc1cc([N+](=O)[O-])ccc1C(=O)Cl,0
EN300-78737,Cc1ccc(C)c(C(=O)Cl)c1,0
EN300-94966,O=C(Cl)C(Br)CCC(Br)C(=O)Cl,0
EN300-19521,CC(=O)Br,0
EN300-124789,CC(Cl)CCCC(=O)Cl,0
EN300-127402,O=C(Cl)C1CCC1,0
EN300-121881,O=C(Cl)C(Br)CBr,0
EN300-119228,O=C(Cl)c1ccc(Cl)cn1,0
EN300-19544,CCCCCCCCC=CCCCCCCCC(=O)Cl,0
EN300-132270,O=C(Cl)c1cnc(Cl)c(Cl)c1,0
EN300-133068,O=C(Cl)c1ccc(F)cc1[N+](=O)[O-],0
EN300-19837,COc1cc(C(=O)Cl)cc(OC)c1OC,0
EN300-128186,COCCC(=O)Cl,0
EN300-128237,O=C(Cl)c1ccc(Cl)c(Cl)c1,0
EN300-128461,O=C(Cl)c1coc2ccccc12,0
EN300-21352,O=C(Cl)CCCCCCCC(=O)Cl,0
EN300-21372,O=C(Cl)N1CCOCC1,0
EN300-137473,O=C(Cl)c1cc(F)ccc1[N+](=O)[O-],0
EN300-21335,O=C(Cl)c1ccc(Cl)cc1,0
EN300-128733,O=C(Cl)c1cc(Cl)ccn1,0
EN300-129335,C=CCC(=O)Cl,0
EN300-132294,O=C(Cl)c1ccccc1I,0
EN300-26497,O=C(Cl)c1ccccc1[N+](=O)[O-],0
EN300-141824,Cc1noc(C)c1C(=O)Cl,0
EN300-142276,O=C(Cl)C1CCC(F)(F)CC1,0
EN300-137718,CC(C)(Br)C(=O)Cl,0
EN300-142608,O=C(Cl)OCC1CC1,0
EN300-152411,CCCN(C)C(=O)Cl,0
EN300-141998,COC1(C(=O)Cl)CCCCC1,0
EN300-140519,COC1(C(=O)Cl)CCC1,0
EN300-20107,O=C(Cl)c1c(F)c(F)c(F)c(F)c1F,0
EN300-141732,COC1(C(=O)Cl)CCCC1,0
EN300-155336,O=C(Cl)N1CCNCC1,0
EN300-140335,Cc1cscc1C(=O)Cl,0
EN300-138628,O=C(Cl)Oc1cc(Cl)cc(Cl)c1,0
EN300-152706,O=C(Cl)C(=O)c1ccc(F)cc1,0
EN300-156177,COC(=O)c1cccc(C(=O)Cl)c1,0
EN300-156841,O=C(Cl)c1ccc([N+](=O)[O-])c(Cl)c1,0
EN300-171958,O=C(Cl)N1CCc2ccccc21,0
EN300-174613,O=C(Cl)c1cncs1,0
EN300-172472,C#CC(C)(C)C(=O)Cl,0
EN300-173294,C#CCC1(C(=O)Cl)CCCCC1,0
EN300-173354,CC(C)N(C)C(=O)Cl,0
EN300-175203,CN1CCC(C(=O)Cl)CC1,0
EN300-174354,N#Cc1ccc(C(=O)Cl)cc1Cl,0
EN300-174748,Cc1ccc(C(=O)Cl)c(C)c1Br,0
EN300-171157,O=C(Cl)c1csc(C(F)(F)F)n1,0
EN300-173994,C#CCCC(=O)Cl,0
EN300-178776,Cc1nn(-c2cccc(C(F)(F)F)c2)c2sc(C(=O)Cl)cc12,0
EN300-176969,O=C(Cl)CC1CCCO1,0
EN300-181896,Cc1nc(C(=O)Cl)cs1,0
EN300-188091,CCC(O)C(=O)Cl,0
EN300-185767,COc1ccsc1C(=O)Cl,0
EN300-196089,CC(C)CN(C)C(=O)Cl,0
EN300-39452,O=C(Cl)c1cccc(CCl)c1,0
EN300-193382,O=C(Cl)OC1CCOCC1,0
EN300-198980,CN(CCC(F)(F)F)C(=O)Cl,0
EN300-193581,CN1CCC(N(C)C(=O)Cl)CC1,0
EN300-203032,CN(C(=O)Cl)C1CCOCC1,0
EN300-200686,CC1CCN(C(=O)Cl)CC1,0
EN300-200725,CC1CCCN(C(=O)Cl)C1,0
EN300-19251,O=C(Cl)c1ccc(F)cc1,0
EN300-200995,CC1CCN(C(=O)Cl)C1,0
EN300-205664,CN(C(=O)Cl)C1CCS(=O)(=O)C1,0
EN300-199635,O=C(Cl)Oc1ccc(F)cc1F,0
EN300-201144,Cc1cc(C(=O)Cl)ccc1C(F)(F)F,0
EN300-201973,CN(CC(F)(F)F)C(=O)Cl,0
EN300-200001,COc1cc(Br)ccc1C(=O)Cl,0
EN300-200046,C#CCCOC(=O)Cl,0
EN300-177793,O=C(Cl)c1ccc(Cl)nn1,0
EN300-201112,O=C(Cl)c1ccc(Cl)nc1,0
EN300-19835,O=C(Cl)C1CCCCC1,0
EN300-208294,CN(C)CCCC(=O)Cl,0
EN300-210204,O=C(Cl)N1CCSCC1,0
EN300-197526,CCC(C)(C)N(C)C(=O)Cl,0
EN300-189922,O=C(Cl)Cc1ccc(Br)cc1,0
EN300-198150,O=C(Cl)COCc1ccccc1,0
EN300-210113,CC(C)CC(C)OC(=O)Cl,0
EN300-206219,O=C(Cl)OC1CCCC1,0
EN300-206928,CC(=O)SCCC(=O)Cl,0
EN300-215188,CC1(C(=O)Cl)COc2ccccc2O1,0
EN300-215873,CC(C)CC(Br)C(=O)Cl,0
EN300-213072,O=C(Cl)CC1CC2CCC1C2,1
EN300-213075,Cc1cc(F)c(C(=O)Cl)cc1F,0
EN300-208625,CC(C)(C)OCC(=O)Cl,0
EN300-194763,COc1cccc(CCC(=O)Cl)c1F,0
EN300-211078,CN(C)CCC(=O)Cl,0
EN300-213974,CCOC(=O)c1ccc(C(=O)Cl)cc1,0
EN300-218515,O=C(Cl)c1ccc(Br)c(F)c1,0
EN300-219050,CS(=O)(=O)c1ccc(CC(=O)Cl)cc1,0
EN300-220240,O=C(Cl)OCc1ccc(Cl)cc1,0
EN300-219128,Cc1cc(C(=O)Cl)on1,0
EN300-220728,O=C(Cl)OCC1CCCCC1,0
EN300-220892,CCCOCCOC(=O)Cl,0
EN300-19274,O=C(Cl)c1ccccc1C(=O)Cl,0
EN300-136463,O=C(Cl)Cc1cccc(F)c1,0
EN300-222873,CCCc1ccc(OC(=O)Cl)cc1,0
EN300-221785,COc1cccc(COC(=O)Cl)c1,0
EN300-216387,CC(Cc1ccccc1)C(=O)Cl,0
EN300-236367,COc1ccc(OCC(=O)Cl)cc1,0
EN300-228551,CCn1ccc(C(=O)Cl)n1,0
EN300-238061,O=C(Cl)c1cc(-c2ccccc2)on1,0
EN300-132181,Cc1oncc1C(=O)Cl,0
EN300-19132,O=C(Cl)COc1ccc(Cl)cc1Cl,0
EN300-24779,COc1cccc(C(=O)Cl)c1OC,0
EN300-239814,COc1ccc(CCC(=O)Cl)cc1,0
EN300-236287,CC(C)c1ccc(OCC(=O)Cl)cc1,0
EN300-237120,COc1cccc2cc(C(=O)Cl)oc12,0
EN300-228250,Cn1ccc(C(=O)Cl)n1,0
EN300-185347,CC1(C(=O)Cl)CC1,0
EN300-138988,CN(C)S(=O)(=O)c1ccc(C(=O)Cl)cc1,0
EN300-220580,CC(C)(CC(=O)Cl)C1CC1,0
EN300-206351,O=C(Cl)OC1CNC1,0
EN300-234238,CC(N)C(=O)Cl,0
EN300-238615,CS(=O)(=O)N1CCC(C(=O)Cl)CC1,0
EN300-239794,O=C(Cl)Cc1ccc([N+](=O)[O-])cc1,0
EN300-239799,Cc1cccc(CC(=O)Cl)c1,0
EN300-239809,CC(C)Oc1ccc(C(=O)Cl)cc1,0
EN300-239812,Cc1ccc(OCC(=O)Cl)cc1,0
EN300-00717,O=C(Cl)c1ccc(C(=O)Cl)s1,0
EN300-19862,CC1(C(=O)Cl)CCCC1,0
EN300-172462,CC(C)OCCC(=O)Cl,0
EN300-142108,O=C(Cl)C1(Br)CCOCC1,0
EN300-246924,O=C(Cl)OC1CCC1,0
EN300-244556,Cn1cncc1C(=O)Cl,0
EN300-366705,O=C(Cl)N1CCC=C(Cl)C1,0
EN300-207401,CCOC(=O)Oc1ccc(C(=O)Cl)cc1,0
EN300-220729,O=C(Cl)OCCc1ccccc1,0
