ID,SMILES,MW
EN300-19326,C#CCO,56.06
EN300-19483,C=CCO,58.08
EN300-100685,OC1CC1,58.08
EN300-19337,CCCO,60.1
EN300-21633,CC(C)O,60.1
EN300-19392,NCCO,61.08
EN300-82361,OCCF,64.06
EN300-84568,C#CC(C)O,70.09
EN300-84739,C#C[C@H](C)O,70.09
EN300-84740,C#C[C@@H](C)O,70.09
EN300-88677,CC#CCO,70.09
EN300-219761,C=C=CCO,70.09
EN300-34598,C#CCCO,70.09
EN300-115340,CC(O)C#N,71.08
EN300-21056,N#CCCO,71.08
EN300-20583,OCC1CC1,72.11
EN300-7258123,C[C@@H]1C[C@H]1O,72.11
EN300-19324,C=C(C)CO,72.11
EN300-61113,OC1CCC1,72.11
EN300-123730,C=CC(C)O,72.11
EN300-1600492,CC1CC1O,72.11
EN300-107716,CC1(O)CC1,72.11
EN300-28907,C=CCCO,72.11
EN300-80399,OC[C@H]1CO1,74.08
EN300-80398,OC[C@@H]1CO1,74.08
EN300-20541,CC(=O)CO,74.08
EN300-19950,OCC1CO1,74.08
EN300-69923,OC1COC1,74.08
EN300-19306,CCC(C)O,74.12
EN300-19336,CC(C)CO,74.12
EN300-116233,CC[C@@H](C)O,74.12
EN300-115210,CC[C@H](C)O,74.12
EN300-19305,CCCCO,74.12
EN300-19307,CC(C)(C)O,74.12
EN300-42421,NC(=O)CO,75.07
EN300-16772,NCCCO,75.11
EN300-33361,C[C@@H](N)CO,75.11
EN300-20160,CC(O)CN,75.11
EN300-29387,CC(N)CO,75.11
EN300-84476,C[C@H](O)CN,75.11
EN300-19342,CNCCO,75.11
EN300-86282,C[C@H](N)CO,75.11
EN300-117430,C[C@@H](O)CN,75.11
EN300-395971,C=C(F)CO,76.07
EN300-19316,COCCO,76.09
EN300-132618,NOCCO,77.08
EN300-2513456,C[C@@H](F)CO,78.09
EN300-84221,OCCCF,78.09
EN300-2513455,C[C@H](F)CO,78.09
EN300-7062556,CC(F)CO,78.09
EN300-1870947,CC(O)CF,78.09
EN300-50881,OCC(F)F,82.05
EN300-173140,C#CC1(O)CC1,82.1
EN300-1272625,C=CC#CCO,82.1
EN300-115246,C=CC(O)C#N,83.09
EN300-118316,C=C(C#N)CO,83.09
EN300-152394,N#CC1(O)CC1,83.09
EN300-1832653,Oc1ccco1,84.07
EN300-1816977,Oc1cnc[nH]1,84.08
EN300-109157,OC1C=CCC1,84.12
EN300-104350,C#CC(C)CO,84.12
EN300-224934,C=C1C[C@@H]1CO,84.12
EN300-3425443,C=C=CCCO,84.12
EN300-92159,CC#CC(C)O,84.12
EN300-106648,O[C@H]1C=CCC1,84.12
EN300-6734015,OC12CC(C1)C2,84.12
EN300-82937,C#CC(O)CC,84.12
EN300-102404,C#CCC(C)O,84.12
EN300-6938177,O[C@@H]1C=CCC1,84.12
EN300-1387015,C=C1CC1CO,84.12
EN300-131560,CCC#CCO,84.12
EN300-2907931,OCC1=CCC1,84.12
EN300-82946,OC1CC=CC1,84.12
EN300-60208,C#CC(C)(C)O,84.12
EN300-21738,C#CCCCO,84.12
EN300-80817,C=CC1(O)CC1,84.12
EN300-98370,C=CC(O)C=C,84.12
EN300-66119,CC#CCCO,84.12
EN300-117533,Oc1cnoc1,85.06
EN300-95046,Oc1ccon1,85.06
EN300-3189803,Oc1cnn[nH]1,85.06
EN300-112802,CC(C#N)CO,85.1
EN300-76665,CC(O)CC#N,85.1
EN300-7056814,C[C@@H](O)CC#N,85.1
EN300-19189,CC(C)(O)C#N,85.1
EN300-2918012,C[C@H](O)CC#N,85.1
EN300-96603,CCC(O)C#N,85.1
EN300-73740,N#CCCCO,85.1
EN300-2005963,Oc1nnn[nH]1,86.05
EN300-364737,CC1(CO)N=N1,86.09
EN300-184087,O=C1CC(O)C1,86.09
EN300-114325,C=C(C)C(C)O,86.13
EN300-84043,C=CC(C)(C)O,86.13
EN300-301711,CC/C=C\CO,86.13
EN300-72587,C[C@@H](O)C1CC1,86.13
EN300-53723,CC(O)C1CC1,86.13
EN300-211432,C=CC[C@H](C)O,86.13
EN300-73249,CC(C)=CCO,86.13
EN300-2008180,C/C=C/CCO,86.13
EN300-127943,CC1(CO)CC1,86.13
EN300-72586,C[C@H](O)C1CC1,86.13
EN300-73771,OCCC1CC1,86.13
EN300-98245,C=CC(O)CC,86.13
EN300-2513462,CC1(C)CC1O,86.13
EN300-1255402,CCC1(O)CC1,86.13
