ID,SMILES,MW
EN300-73588,O=C(O)c1cc[nH]c1,111.1
EN300-13984,O=C(O)c1ccc[nH]1,111.1
EN300-19302,O=C(O)c1ccco1,112.08
EN300-23735,O=C(O)c1ccoc1,112.08
EN300-97870,O=C(O)c1ncc[nH]1,112.09
EN300-41863,O=C(O)c1cn[nH]c1,112.09
EN300-62808,O=C(O)c1cnc[nH]1,112.09
EN300-37077,O=C(O)c1ccn[nH]1,112.09
EN300-31998,O=C(O)c1c[nH]nn1,113.07
EN300-66602,O=C(O)c1cnoc1,113.07
EN300-100741,O=C(O)c1nc[nH]n1,113.07
EN300-06774,O=C(O)c1ccno1,113.07
EN300-25446,O=C(O)c1cnco1,113.07
EN300-68618,O=C(O)c1cocn1,113.07
EN300-22245,O=C(O)c1ccon1,113.07
EN300-94211,O=C(O)c1cnon1,114.06
EN300-90226,O=C(O)c1nnn[nH]1,114.06
EN300-6505097,O=C([O-])c1ncco1.[Li+],119.0
EN300-19169,O=C(O)c1ccncc1,123.11
EN300-18459,O=C(O)c1ccccn1,123.11
EN300-16693,O=C(O)c1cccnc1,123.11
EN300-79022,O=C(O)c1cccnn1,124.1
EN300-111006,O=C(O)c1ccncn1,124.1
EN300-19900,O=C(O)c1cnccn1,124.1
EN300-80230,O=C(O)c1ncccn1,124.1
EN300-64297,O=C(O)c1cncnc1,124.1
EN300-75875,O=C(O)c1ccnnc1,124.1
EN300-39551,Cc1c[nH]cc1C(=O)O,125.13
EN300-102085,Cc1c[nH]c(C(=O)O)c1,125.13
EN300-145549,Cc1ccc(C(=O)O)[nH]1,125.13
EN300-98523,Cc1[nH]ccc1C(=O)O,125.13
EN300-108239,Cn1ccc(C(=O)O)c1,125.13
EN300-104519,Cc1cc(C(=O)O)c[nH]1,125.13
EN300-113442,Cc1cc[nH]c1C(=O)O,125.13
EN300-17174,Cn1cccc1C(=O)O,125.13
EN300-72409,Cc1nc(C(=O)O)c[nH]1,126.11
EN300-04016,Cn1ccnc1C(=O)O,126.11
EN300-27672,Cc1[nH]ncc1C(=O)O,126.11
EN300-23429,Cc1ccoc1C(=O)O,126.11
EN300-96356,Cc1nc[nH]c1C(=O)O,126.11
EN300-88417,Cn1cncc1C(=O)O,126.11
EN300-41425,Cc1cc(C(=O)O)n[nH]1,126.11
EN300-14395,Cn1cc(C(=O)O)cn1,126.11
EN300-109364,Cc1cocc1C(=O)O,126.11
EN300-05385,Cc1ccc(C(=O)O)o1,126.11
