ID,SMILES,Scaffold
EN300-13872,N#CC(C(=O)CCl)=C1NC(C23CC4CC(CC(C4)C2)C3)=CS1,1
EN300-173245,O=C(CCl)C1CC2CCC1C2,1
EN300-175548,O=C(CCl)CC12CC3CC(CC(C3)C1)C2,1
EN300-255005,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)[C@H]2Br,1
EN300-27143697,O=C(CBr)C12CCC(CF)(C1)OC2,1
EN300-26674278,CCC12CC(C(=O)CBr)(CO1)C2,1
EN300-27702206,CC12COC(C(=O)CBr)(C1)C2,1
EN300-37293811,O=C(CBr)C12CNC(C1)C2,1
EN300-5480932,O=C(CBr)C12CCC(CC1)C2,1
EN300-6735392,O=C(CCl)C12CC3CC(CC(C3)C1)C2,1
EN300-7472826,O=C(CBr)C12COC(CF)(C1)C2,1
EN300-07975,CC(Br)C(=O)C12CC3CC(CC(C3)C1)C2,1
EN300-37336074,O=C(CBr)CC12CC(C1)C2,1
EN300-27081104,CCC12CCC(C(=O)CBr)(CO1)C2,1
EN300-7543257,COC(=O)C12CC(C(=O)CBr)(C1)C2,1
EN300-3211742,O=C(CBr)C1CC2CCC1O2,1
EN300-5164428,O=C(CCl)C1C2CC3CC(C2)CC1C3,1
EN300-26679337,O=C(CCl)C1CC2CC1C1CC21,1
EN300-01848,O=C(CBr)C12CC3CC(CC(C3)C1)C2,1
EN300-7456646,CC12CC(C(=O)CBr)(C1)C(C)(C)O2,1
EN300-44829567,COC(=O)C12CCC(C(=O)CBr)(CC1)C2,1
EN300-45199645,O=C(CBr)C1CC2CC1CN2,1
EN300-7111561,NC12CC(C(=O)CCl)(C1)C2,1
EN300-45208130,O=C(CBr)C12CC(C(F)(F)F)(C1)C2,1
EN300-45232244,CC12CC(C(=O)CBr)(C1)C2,1
EN300-7192222,NC12CC(C(=O)CBr)(C1)C2,1
EN300-47110135,O=C(CCl)C1C2CCC1C2,1
EN300-37293809,NC12COC(C(=O)CBr)(C1)C2,1
EN300-298073,NNC12CC(C(F)(F)F)(C1)C2,1
EN300-33051036,NNC12CC(C3CCOCC3)(C1)C2,1
EN300-27115534,NNC1C2CC3CC1CC(O)(C3)C2,1
EN300-27717825,NNC12CC(CCC(F)(F)F)(C1)C2,1
EN300-27776872,NNC12CC(C3CCCC3)(C1)C2,1
EN300-28233940,NNC12CC(C3CCCC3)(C1)C2,1
EN300-27736491,NNCC12CC3CC(CC(C3)C1)C2,1
EN300-28316151,CC12CC(NN)(C1)C2,1
EN300-37355828,CC(F)(F)C12CC(NN)(C1)C2,1
EN300-124597,NNC1CC2CCC1C2,1
EN300-189182,CC1(C)C2CCC1(C)C(NN)C2,1
EN300-261457,NNC12CC(C1)C2,1
EN300-228351,O=C(CC(=O)C12CC3CC(CC(C3)C1)C2)C(F)(F)F,1
EN300-228457,O=C(CC(=O)C12CC3CC(CC(C3)C1)C2)C(F)F,1
EN300-25302573,CCOC(=O)C1C(=O)C2CC3CC(C2)CC1C3,1
EN300-22990202,COC(=O)CC(=O)C12CC(C(=O)OC)(C1)C2,1
EN300-80500,CC(=O)CC(=O)C12CC3CC(CC(C3)C1)C2,1
EN300-6494512,COC(=O)C1C(=O)C2CCC1C2,1
EN300-9123129,N#CCC(=O)C12CC3CC(CC(C3)C1)C2,1
EN300-83769,NC(=O)C1C2CC3CC(C2)CC1C3,1
EN300-170088,NC(=S)C12CC3CC(CC(C3)C1)C2,1
EN300-68988,NC(=O)CC1CC2CCC1C2,1
EN300-374179,NC(=O)[C@@H]1C[C@H]2CC[C@@H]1O2,1
EN300-129654,N=C(N)C1CC2CCC1C2,1
EN300-1718711,NC(=O)C12CC3CC(CC(C3)C1)C2,1
EN300-36971645,CC(C)(C)C12CC(C(N)=O)(C1)C2,1
EN300-10185,CC(NC(N)=O)C1CC2CCC1C2,1
EN300-6478230,NC(=S)NC12CC3CC(CC(C3)C1)C2,1
EN300-6497032,N=C(N)CC1CC2CCC1C2,1
EN300-6479738,NC(=O)NC(N)=NC12CC3CC(CC(C3)C1)C2,1
EN300-7061258,NC(=O)C12CC(C1)C2,1
EN300-9466595,NC(=O)COC12CC3CC(CC(C3)C1)C2,1
EN300-124846,CC(NC(N)=O)C12CC3CC(CC(C3)C1)C2,1
EN300-6981408,NC(=O)C12CC(CN1)C2,1
EN300-92939,CC12CCC(CC1=NNC(N)=O)C2(C)C,1
EN300-7425129,COC(=O)C12CCC(C(N)=O)(CC1)C2,1
EN300-17678,NC(=O)NC12CC3CC(CC(C3)C1)C2,1
EN300-109142,N=C(N)C12CC3CC(CC(C3)C1)C2,1
EN300-08112,NNC(=O)C12CC3CC(CC(C3)C1)C2,1
EN300-15210,NC(=NO)C12CC3CC(CC(C3)C1)C2,1
EN300-03845,NNC(=O)CC12CC3CC(CC(C3)C1)C2,1
EN300-228835,NNC(=O)C12CC3CC(C1)CC(n1cnc(Cl)n1)(C3)C2,1
EN300-228839,NNC(=O)C12CC3CC(C1)CC(n1ncnn1)(C3)C2,1
EN300-263677,NNC(=O)C1CC2CCC1O2,1
EN300-37401074,NNC(=O)CC12CC3CC(CC(C3)C1)C2,1
