ID,SMILES,Scaffold
EN300-207054,C=C(C)CNN,0
EN300-27752342,C=CCCNN,0
EN300-28311858,C=CC(C)NN,0
EN300-05167,C=CCn1c(C)cc(C(=O)CC#N)c1C,0
EN300-13802,CSC(=C(C#N)C#N)N1CCOCC1,0
EN300-35813,CN(C)C=NC(=CN(C)C)C=[N+](C)C,0
EN300-43588,CN(C)C=C(C#N)C(N)=O,0
EN300-80201,Cc1ccc(CNC(=O)C(C#N)=CN(C)C)cc1,0
EN300-105026,CC(C#N)=CN(C)C,0
EN300-80198,COc1ccc(CNC(=O)C(C#N)=CN(C)C)cc1,0
EN300-20951,C=CCOC(=O)CC(C)=O,0
EN300-186417,CN(C)C=C(C#N)c1ccccc1C#N,0
EN300-186418,CN(C)C=C(C#N)c1ccccn1,0
EN300-95883,CCS(=O)(=O)C(C#N)=CN(C)C,0
EN300-1717148,CN(C)/C=C(\C#N)c1nc2ccccc2[nH]1,0
EN300-651245,CN(C)/C=C/C#N,0
EN300-1716126,CN(C)/C=C(/C#N)C(N)=O,0
EN300-1716129,CN(C)/C=C(/C#N)C(=O)/N=C/N(C)C,0
EN300-1697924,CN(C)/C=C(/C#N)c1cccs1,0
EN300-6745357,CN(C)/C=C(\C#N)C(N)=O,0
EN300-6491538,C=CCCC(=O)C(C)C(=O)OCC,0
EN300-7380558,CN(C)/C=C(\C#N)S(C)(=O)=O,0
EN300-26690559,CN(C)/C=C(/C=[N+](C)C)S(C)(=O)=O,0
EN300-172367,CSC(=C(C#N)C#N)N(C)C,0
EN300-141193,C=CCCC(=O)CC(=O)OC,0
EN300-80197,CC(C)NC(=O)C(C#N)=CN(C)C,0
EN300-28254294,C=CCCC(=O)CC(=O)C(F)(F)F,0
EN300-185381,CN(C)C=C(C#N)Sc1ccc(F)cc1,0
EN300-46821766,CN(C)/C=C(\C=[N+](C)C)c1ncc[nH]1,0
EN300-10252,NC(=O)NCCC1=CCCCC1,0
EN300-55452,C=CC(=O)NC(N)=O,0
EN300-108515,N=C(N)C1CC=CCC1,0
EN300-28889,CCOC(=O)c1c2c(n(NC(N)=O)c1C)C(=Cc1ccccc1)CC2,0
EN300-17276,C=CCNC(N)=O,0
EN300-210701,C=CCCC(N)=O,0
EN300-170558,C=CNC(N)=O,0
EN300-304813,C=CC(C)(C)CC(N)=O,0
EN300-17288,C=CCNC(N)=S,0
EN300-25989927,COC(=O)C1=C(NC(N)=O)CCS1,0
EN300-7289682,C=C1CC(C(N)=S)C1,0
EN300-2009861,C=Cc1cc(Cl)ccc1C(N)=O,0
EN300-6772491,C=Cc1ccc(C(N)=O)cc1,0
EN300-1280989,CC=CC(=O)N1CCC1C(N)=O,0
EN300-189809,NC(=O)C1CC=CCC1,0
EN300-66366,C=C(C)CNC(N)=S,0
EN300-27102617,COC(=O)C1=C(NC(N)=O)COC1,0
EN300-230480,C=CCOc1cc(Br)c(C(=O)NN)cc1OCC,0
EN300-228988,C=CCc1ccc(OC(C)C(=O)NN)c(OC)c1,0
EN300-226071,NC(C=C(Cl)c1ccc(F)cc1F)=NO,0
EN300-312311,C=C(C)C(N)=NO,0
EN300-747035,NNC(=O)C1CC2C=CC1C2,0
