ID,SMILES,MW
EN300-18986,CC(=O)Cl,78.5
EN300-19484,C=CC(=O)Cl,90.51
EN300-19539,CCC(=O)Cl,92.52
EN300-2517124,CC#CC(=O)Cl,102.52
EN300-105706,N#CCC(=O)Cl,103.51
EN300-307051,CC(C)CC(=O)F,104.12
EN300-19906,CC=CC(=O)Cl,104.53
EN300-19246,C=C(C)C(=O)Cl,104.53
EN300-129335,C=CCC(=O)Cl,104.53
EN300-29630,O=C(Cl)C1CC1,104.53
EN300-309194,CCCOC(=O)F,106.1
EN300-134788,CC(=O)C(=O)Cl,106.51
EN300-19270,CC(C)C(=O)Cl,106.55
EN300-19257,CCCC(=O)Cl,106.55
EN300-21264,COCC(=O)Cl,108.52
EN300-19001,CCOC(=O)Cl,108.52
EN300-313356,O=C(Cl)CCF,110.51
EN300-19172,O=C(Cl)CCl,112.94
EN300-7167560,O=C(Cl)C(F)F,114.48
EN300-173994,C#CCCC(=O)Cl,116.55
EN300-220154,C#CCOC(=O)Cl,118.52
EN300-261371,CC=C(C)C(=O)Cl,118.56
EN300-107974,CC(C)=CC(=O)Cl,118.56
EN300-127402,O=C(Cl)C1CCC1,118.56
EN300-127042,CC1CC1C(=O)Cl,118.56
EN300-185347,CC1(C(=O)Cl)CC1,118.56
EN300-75033,O=C(Cl)CC1CC1,118.56
EN300-7273790,C=C(CC)C(=O)Cl,118.56
EN300-736796,[N-]=[N+]=NCC(=O)Cl,119.51
EN300-26977833,C=CN(C)C(=O)Cl,119.55
EN300-1154924,O=C(Cl)N1CCC1,119.55
EN300-243807,O=C(Cl)OC1CC1,120.53
EN300-21727,C=CCOC(=O)Cl,120.53
EN300-19178,CC(C)(C)C(=O)Cl,120.58
EN300-21314,CC(C)CC(=O)Cl,120.58
EN300-213540,CCN(C)C(=O)Cl,121.57
EN300-20687,COC(=O)C(=O)Cl,122.51
EN300-7526076,O=C(Cl)C1(F)CC1,122.53
EN300-207537,CCCOC(=O)Cl,122.55
EN300-29642,CC(C)OC(=O)Cl,122.55
EN300-128186,COCCC(=O)Cl,122.55
EN300-781048,CCOCC(=O)Cl,122.55
EN300-19521,CC(=O)Br,122.95
EN300-1725614,CON(C)C(=O)Cl,123.54
EN300-7447932,O=C(F)c1ccccc1,124.11
EN300-2484995,CC(C)(F)C(=O)Cl,124.54
EN300-1251909,CSCC(=O)Cl,124.59
EN300-260372,C=C(Cl)C(=O)Cl,124.95
EN300-253271,O=C(Cl)OCCF,126.51
EN300-19256,O=C(Cl)C(=O)Cl,126.93
EN300-20448,CC(Cl)C(=O)Cl,126.97
EN300-338473,C[C@@H](Cl)C(=O)Cl,126.97
EN300-20450,O=C(Cl)CCCl,126.97
EN300-322328,C[C@H](Cl)C(=O)Cl,126.97
EN300-1693144,CC(F)(F)C(=O)Cl,128.51
EN300-86313,O=C(Cl)OCCl,128.94
EN300-250602,O=C(Cl)c1ccoc1,130.53
EN300-37339882,C=CCC(=C)C(=O)Cl,130.57
