ID,SMILES,Scaffold
EN300-50469,C#CCNC1CCCc2ccccc21,1
EN300-27346,C#CCN1CCNCC1,1
EN300-41698,C#CCNC1CCc2ccccc21,1
EN300-60694,C#CCNC(C)c1ccc2c(c1)NC(=O)CO2,1
EN300-59073,C#Cc1cccc(NCC(=O)N2CCOCC2)c1,1
EN300-52435,C#CCCN1CCNCC1,1
EN300-68502,C#Cc1cccc(N)c1,1
EN300-68344,C#CCNC(=O)C(C)N1CCNCC1,1
EN300-71281,C#CCNCc1cccnc1,1
EN300-68632,C#Cc1cccc(NCc2ccncc2)c1,1
EN300-66874,C#CCC(NC)c1ccccc1,1
EN300-68754,C#Cc1cccc(NC)c1,1
EN300-68463,C#Cc1cccc(NC(C)C)c1,1
EN300-68347,C#Cc1cccc(NCc2cccs2)c1,1
EN300-70271,C#CCNC(=O)CN1CCCNCC1,1
EN300-70843,C#CCOc1ccccc1CNC,1
EN300-94663,C#CCNCc1ccc2ccccc2n1,1
EN300-95371,C#CCNCc1cccc(C)n1,1
EN300-69116,C#CCNCC1CCCO1,1
EN300-107849,CC#CCNC1CCCC1,0
EN300-107345,C#CCNCC(F)F,1
EN300-105511,C#CCNC1CCCC1,1
EN300-109345,C#CCn1cc(CNC)cn1,1
EN300-108866,C#CCOCCNC,1
EN300-113374,C#CCNc1ccc(C(F)(F)F)cc1,1
EN300-57296,C#CCN1CCC(NC2CCOCC2)CC1,1
EN300-69673,C#CCN1CCCNCC1,1
EN300-68457,C#Cc1cccc(NCc2ccco2)c1,1
EN300-75317,C#CCNC1CCOc2ccc(Br)cc21,1
EN300-55827,C#CCNCc1ccc(C)cc1,1
EN300-56993,C#CCNCc1ccco1,1
EN300-56956,C#CCNCc1ccc(F)cc1,1
EN300-114413,C#CCNCC(=O)Nc1cccc(C)c1,1
EN300-116839,C#CCNCC1CC1,1
EN300-71959,C#CCOc1ccc(NC)cc1,1
EN300-45462,C#Cc1cccc(NC(=O)CNC)c1,1
EN300-126711,C#CCNCc1ccc(C(=O)OC)cc1,1
EN300-117880,C#CCNCC(=O)Nc1ccccc1F,1
EN300-137177,C#CCNC1CC1,1
EN300-139279,C#CCCNCC(F)(F)F,1
EN300-148307,C#CCNCCO,1
EN300-151667,C#CCNC1CC1,1
EN300-146886,C#CCNC(C)Cc1ccccc1,1
EN300-180277,CC#CCNC,0
EN300-188655,C#CCn1ccc(CNCCOC)n1,1
EN300-188648,C#CCn1ccc(CNCC)n1,1
EN300-204107,C#CCNC(=O)C1CCNCC1,1
EN300-209105,C#CCNc1nc(Cl)nc(Cl)n1,1
EN300-211161,C#CCN,1
EN300-197993,CC#CCNc1ccc(N)cc1,0
EN300-211817,C#CCC(Cc1ccccc1)NC,1
EN300-213013,C#CCNC(=O)CN1CCNCC1,1
EN300-222428,C#CC1(F)CCNC1,1
EN300-239000,C#CCOC1CCCNC1,1
EN300-199311,C#CCNCC#N,1
EN300-59672,C#Cc1cccc(NCC(=O)NC)c1,1
EN300-91523,C#CCNC(C)Cc1ccccc1,1
EN300-54155,C#CCNCC,1
EN300-49837,C#CCNCC(F)(F)F,1
EN300-252867,CC#CCNC1CCCCC1,0
EN300-50270,C#CCNC1CCS(=O)(=O)C1,1
EN300-97632,C#CCNc1nccs1,1
EN300-211459,C#CCNCC=C,1
EN300-260428,C#CCC1CCCNC1,1
EN300-298242,C#CC1CNC1,1
EN300-299346,C#CCNC1CSC1,1
EN300-269412,C#CC1CCCNC1,1
EN300-307536,C#CCNc1c(C)cccc1C,1
EN300-315807,C#CC1(O)CCNCC1,1
EN300-306864,C#CCCNC1COC1,1
EN300-322760,C#CCNc1ccc(Cl)cc1C#N,1
EN300-364738,C#CC1CCCNCC1,1
EN300-370688,C#CC(C)NCCCC,1
EN300-370754,C#CCNC1CCNCC1,1
EN300-91883,C#CCNCC#CC,1
EN300-373971,C#CC1CCCCNC1,1
EN300-374153,C#CCC1(O)CCNCC1,1
EN300-375242,C#CC(C)NCC,1
EN300-375275,C#CC(C)(C)NCC,1
EN300-376027,C#CCNC1CCN(C)CC1,1
EN300-376029,C#CCNC1CCOCC1,1
EN300-378921,C#CC(=O)N1C[C@H]2CNC[C@H]2C1,1
EN300-1257674,C#CCNc1ccccc1F,1
EN300-701215,C#CC12CC(CN1)C2,1
EN300-1265265,C#CCCCNC,1
EN300-37380631,C#C[C@@H]1CNC[C@H]1OC,1
EN300-123054,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,1
EN300-747168,O=C(O)C(F)(F)F,1
EN300-764736,C#CC1CCNC1,1
EN300-1258439,C#CCNC1CCC1,1
EN300-380048,C#CCNC1CCOC1,1
EN300-1080062,C#CCOC1CCNCC1,1
EN300-1081987,C#CCNc1nc(Cl)ccc1C(=O)OCC,1
EN300-736072,C#CC1CCCCN1,1
EN300-794462,C#CC1CCCN1,1
EN300-1180008,C#CCNCC(C)C,1
EN300-1086737,C#CCCNC1CCOCC1,1
EN300-7159979,CNCC#CCN(C)C,0
EN300-107854,C#CCCNC1CCCC1,1
EN300-1290903,C#CCNC1COC1,1
EN300-746889,C#CC(C)(C)N1CCNCC1,1
EN300-69539,C#CCNS(=O)(=O)N1CCNCC1,1
EN300-37099750,C#CCN1CCC2(CCNCC2)CC1,1
EN300-54090,C#CCNCCC,1
