ID,SMILES,MW
EN300-126328,C=C(CCl)S(=O)(=O)F,158.58
EN300-55176,COCCS(=O)(=O)Cl,158.6
EN300-123845,CC(O)CS(=O)(=O)Cl,158.6
EN300-245261,O=S(=O)(F)C1CC1(F)F,160.11
EN300-224436,O=S(=O)(F)c1ccccc1,160.17
EN300-64799,O=S(=O)(F)CCCCl,160.59
EN300-84687,O=S(=O)(Cl)CCCF,160.59
EN300-7340936,CC(F)CS(=O)(=O)Cl,160.59
EN300-1988228,CC(C)(F)S(=O)(=O)Cl,160.59
EN300-138027,O=S(=O)(F)c1cccnc1,161.15
EN300-244367,O=S(=O)(F)c1ccccn1,161.15
EN300-295109,O=S(=O)(F)c1ccncc1,161.15
EN300-734595,O=S(=O)(F)c1cnccn1,162.14
EN300-120284,O=S(=O)(F)c1cccnn1,162.14
EN300-246662,O=S(=O)(F)c1ncccn1,162.14
EN300-378919,O=S(=O)(F)c1cncnc1,162.14
EN300-17588,O=S(=O)(Cl)CCCl,163.02
EN300-136473,CC(Cl)S(=O)(=O)Cl,163.02
EN300-6732929,N#CC1CC(S(=O)(=O)F)C1,163.17
EN300-727841,N#CC1(CS(=O)(=O)F)CC1,163.17
EN300-27117563,N#C[C@H]1C[C@@H](S(=O)(=O)F)C1,163.17
EN300-6731219,N#C[C@H]1C[C@H](S(=O)(=O)F)C1,163.17
EN300-139295,Cn1cccc1S(=O)(=O)F,163.17
EN300-6486028,N#C[C@H]1C[C@H]1CS(=O)(=O)F,163.17
EN300-6740110,N#CC1(S(=O)(=O)F)CCC1,163.17
EN300-1693736,Cl.NCCS(=O)(=O)F,163.6
EN300-728664,Cc1ccc(S(=O)(=O)F)o1,164.15
EN300-312538,Cc1[nH]ncc1S(=O)(=O)F,164.16
EN300-74384,Cn1ccnc1S(=O)(=O)F,164.16
EN300-27146575,CCCCC#CS(=O)(=O)F,164.2
EN300-26682408,CC(C)(C)C#CS(=O)(=O)F,164.2
EN300-391793,O=S(=O)(F)C1CC=CCC1,164.2
EN300-2007569,CC(F)(F)S(=O)(=O)Cl,164.56
EN300-73503,O=S(=O)(Cl)CC(F)F,164.56
EN300-244447,Cn1cnnc1S(=O)(=O)F,165.15
EN300-7019440,Cc1nnc(S(=O)(=O)F)[nH]1,165.15
EN300-1266407,Cn1ncnc1S(=O)(=O)F,165.15
EN300-705575,Cn1nnnc1S(=O)(=O)F,166.13
EN300-746798,Cn1nnc(S(=O)(=O)F)n1,166.13
EN300-728856,CC1(CCS(=O)(=O)F)N=N1,166.17
EN300-7445026,O=C1CC(CS(=O)(=O)F)C1,166.17
EN300-1582725,CC1CC(CS(=O)(=O)F)C1,166.21
EN300-64013,O=S(=O)(F)C1CCCCC1,166.21
EN300-82810,O=S(=O)(Cl)c1ccoc1,166.58
EN300-139041,O=S(=O)(Cl)c1ccco1,166.58
EN300-49990,O=S(=O)(Cl)c1cn[nH]c1,166.59
EN300-218284,O=S(=O)(Cl)c1ncc[nH]1,166.59
EN300-75269,O=S(=O)(Cl)c1c[nH]cn1,166.59
EN300-189720,C#CCCCS(=O)(=O)Cl,166.63
EN300-6955727,O=S(=O)(Cl)C1CC=CC1,166.63
EN300-1270261,O=S(=O)(Cl)C12CC(C1)C2,166.63
EN300-7504604,O=S(=O)(Cl)C(F)Cl,166.99
EN300-224056,[N-]=[N+]=NCCCS(=O)(=O)F,167.16
EN300-28320505,O=C=NCCCS(=O)(=O)F,167.16
EN300-37378850,O=S(=O)(F)N1C[C@@H]2O[C@@H]2C1,167.16
EN300-224692,O=S(=O)(F)c1nccs1,167.18
EN300-7048767,O=S(=O)(F)N1CCCCC1,167.2
EN300-1988367,O=S(=O)(Cl)c1nc[nH]n1,167.57
EN300-70482,O=S(=O)(Cl)c1cnoc1,167.57
EN300-49307,N#CCCCS(=O)(=O)Cl,167.61
EN300-1612224,C#CCN(C)S(=O)(=O)Cl,167.61
EN300-93051,CCC(C#N)S(=O)(=O)Cl,167.61
EN300-1120474,CC(C#N)CS(=O)(=O)Cl,167.61
EN300-127699,CC(C)(C#N)S(=O)(=O)Cl,167.61
EN300-7134576,O=S(=O)(Cl)N1CC=CC1,167.61
EN300-224049,O=C1OCCC1S(=O)(=O)F,168.14
EN300-28228504,O=C1CC(S(=O)(=O)F)CO1,168.14
EN300-364777,COC(=O)/C=C/S(=O)(=O)F,168.14
EN300-83027,O=S(=O)(F)C1CCOCC1,168.19
EN300-64015,O=S(=O)(F)CC1CCCO1,168.19
EN300-27695629,O=S(=O)(F)[C@H]1CC[C@@H](O)C1,168.19
EN300-71446,O=S(=O)(F)CC1CCOC1,168.19
EN300-45182133,O=S(=O)(F)CCC1CCO1,168.19
EN300-103781,CC1(CS(=O)(=O)F)COC1,168.19
EN300-76119,CCCC(C)CS(=O)(=O)F,168.23
EN300-76027,CC(C)(C)CCS(=O)(=O)F,168.23
EN300-76121,CCC(CC)CS(=O)(=O)F,168.23
EN300-1612267,CN(CC#N)S(=O)(=O)Cl,168.6
EN300-223387,CC1(CS(=O)(=O)Cl)N=N1,168.6
EN300-321662,O=C1CC(S(=O)(=O)Cl)C1,168.6
EN300-1272237,C[C@@H]1C[C@@]1(C)S(=O)(=O)Cl,168.64
EN300-117451,O=S(=O)(Cl)CC1CCC1,168.64
EN300-62549,O=S(=O)(Cl)C1CCCC1,168.64
EN300-292199,CC1CC(S(=O)(=O)Cl)C1,168.64
EN300-211754,C=CCCCS(=O)(=O)Cl,168.64
EN300-116132,O=S(=O)(Cl)CCC1CC1,168.64
EN300-269549,CCC1(S(=O)(=O)Cl)CC1,168.64
EN300-1600809,CCC1CC1S(=O)(=O)Cl,168.64
EN300-213021,CC1CC1CS(=O)(=O)Cl,168.64
EN300-190372,CC1(CS(=O)(=O)Cl)CC1,168.64
EN300-751351,CC1(C)CC1S(=O)(=O)Cl,168.64
EN300-341823,CC1(S(=O)(=O)Cl)CCC1,168.64
EN300-25682662,O=S(=O)(F)N1CC[C@@H](O)C1,169.17
EN300-7171105,O=S(=O)(F)N1CCOCC1,169.17
EN300-125654,[N-]=[N+]=NCCS(=O)(=O)Cl,169.59
EN300-81521,CN(C1CC1)S(=O)(=O)Cl,169.63
EN300-1612230,C=CCN(C)S(=O)(=O)Cl,169.63
EN300-1168264,O=S(=O)(Cl)NC1CCC1,169.63
EN300-28610,O=S(=O)(Cl)N1CCCC1,169.63
EN300-27115838,CC(CS(=O)(=O)F)C(=O)O,170.16
EN300-224312,COC(=O)CCS(=O)(=O)F,170.16
EN300-727923,COCCCCS(=O)(=O)F,170.2
EN300-75790,O=S(=O)(Cl)C1CCOC1,170.61
EN300-7436848,O=S(=O)(Cl)[C@@H]1CCOC1,170.61
EN300-7436872,O=S(=O)(Cl)[C@H]1CCOC1,170.61
EN300-1585245,O=S(=O)(Cl)CCC1CO1,170.61
EN300-1716085,O=S(=O)(Cl)[C@@H]1CC[C@H]1O,170.61
EN300-66646,CC(C)CCS(=O)(=O)Cl,170.66
EN300-175826,CCCC(C)S(=O)(=O)Cl,170.66
EN300-95198,CC(C)C(C)S(=O)(=O)Cl,170.66
EN300-114692,CCC(C)CS(=O)(=O)Cl,170.66
EN300-73227,CCC(CC)S(=O)(=O)Cl,170.66
EN300-126042,CCC(C)(C)S(=O)(=O)Cl,170.66
EN300-82016,CC(C)(C)CS(=O)(=O)Cl,170.66
EN300-73146,CCCCCS(=O)(=O)Cl,170.66
EN300-6489868,F.O=S(=O)(F)c1cn[nH]n1,171.13
EN300-23873,CCN(CC)S(=O)(=O)Cl,171.65
EN300-40121,CC(C)N(C)S(=O)(=O)Cl,171.65
EN300-133503,CC(C)(C)NS(=O)(=O)Cl,171.65
EN300-110175,CCCN(C)S(=O)(=O)Cl,171.65
EN300-159817,CC(C)CNS(=O)(=O)Cl,171.65
EN300-1583290,COC(CS(=O)(=O)F)OC,172.18
EN300-7466616,O=S(=O)(F)CCOCCO,172.18
EN300-30852,COC(=O)CS(=O)(=O)Cl,172.59
EN300-304164,O=S(=O)(Cl)CC1(F)CC1,172.61
EN300-262832,O=S(=O)(Cl)[C@H]1CC[C@H]1F,172.61
EN300-23607448,O=S(=O)(Cl)C1CC(F)C1,172.61
EN300-68942,COCCCS(=O)(=O)Cl,172.63
EN300-58976,CCOCCS(=O)(=O)Cl,172.63
EN300-77178,COCC(C)S(=O)(=O)Cl,172.63
EN300-115986,COC(C)CS(=O)(=O)Cl,172.63
EN300-92381,O=[N+]([O-])CCS(=O)(=O)Cl,173.58
EN300-122838,COC(=O)NS(=O)(=O)Cl,173.58
EN300-6734161,O=S(=O)(Cl)N1CC(F)C1,173.59
EN300-344022,Cc1cccc(S(=O)(=O)F)c1,174.19
EN300-224413,Cc1ccccc1S(=O)(=O)F,174.19
