ID,SMILES,Scaffold
EN300-27425,Nc1cccc(C#Cc2ccccn2)c1,0
EN300-26967,C#Cc1cccc(N)c1,1
EN300-49078,C#Cc1cccc(NC(=O)CN)c1,1
EN300-44922,C#CCNC(=O)c1ccccc1N,1
EN300-61422,C#CCn1cnc(-c2ccccc2)c1N,1
EN300-60761,C#CCNC(=O)CN,1
EN300-72016,C#CCOc1ccc(N)cc1,1
EN300-71418,C#CCn1cnc2c(N)ncnc21,1
EN300-85288,C#CCOc1cc(F)ccc1N,1
EN300-99584,NCC#Cc1cccnc1,0
EN300-101997,CC#CCN,0
EN300-85023,C#CCN1CCCC(N)C1,1
EN300-27575,Nc1cccc(C#Cc2cccs2)c1,0
EN300-58287,C#CCNC(=O)c1ccccc1N,1
EN300-106560,C#CCCCCN,1
EN300-85554,C#CCOc1ccc(F)cc1N,1
EN300-41322,CS(=O)(=O)Nc1cccc(C#CCN)c1,0
EN300-136061,C#CC(N)CC,1
EN300-133757,CCOc1ccc(C#CCN)cc1,0
EN300-152999,C#CC(C)N,1
EN300-154609,C#CCCOc1ccc(CN)cc1,1
EN300-157046,C#Cc1c(C)nsc1N,1
EN300-157379,C#CC(N)C(C)(C)OC,1
EN300-175161,C#CCCCN,1
EN300-174737,C#CCC(N)CC#C,1
EN300-183393,C#CCn1cc(CN)cn1,1
EN300-172665,C#CC(N)CCC,1
EN300-188851,C#CC(=O)Nc1ccc(OC)c(N)c1,1
EN300-190354,C#CC(N)c1ccccc1,1
EN300-182452,C#Cc1cc(O)ccc1N,1
EN300-203524,C#CCOc1ccc(CN)cc1,1
EN300-198417,C#CC(N)C(C)C,1
EN300-198500,C#CCCC(O)CN,1
EN300-204805,C#CCCC(O)CCN,1
EN300-207826,C#CCC(N)Cc1ccccc1,1
EN300-208254,C#CCOc1cccc(CN)c1,1
EN300-216990,C#CCN(C)c1cnc(N)cn1,1
EN300-198915,C#CC(N)c1ccc(Cl)cc1,1
EN300-219061,C#CC[C@H](O)CN,1
EN300-219604,C#CC1CCN(C(=O)CN)CC1,1
EN300-241661,CN(C)CC#CCN,0
EN300-223689,C#CCN(C)CCCN,1
EN300-233952,C#Cc1ccc(CN)cc1,1
EN300-172824,C#CC(C)(N)CC,1
EN300-233538,C#CC(N)CO,1
EN300-226925,C[Si](C)(C)C#Cc1ccc(CN)cc1,0
EN300-97741,NCC#CCO,0
EN300-203523,C#CCOc1ccc(CN)cc1,1
EN300-83439,C#CCCN1CCC(N)CC1,1
EN300-73330,C#CCOc1ccccc1CN,1
EN300-249285,C#Cc1cccc(CN)c1,1
EN300-26681,NCC#Cc1ccccc1,0
EN300-248722,C#Cc1cccc(CN)c1,1
EN300-2979283,C#Cc1ccc(Cl)c(N)c1,1
EN300-119236,C#CCC(N)c1ccccc1,1
EN300-254511,C#CCC(N)CC(F)(F)F,1
EN300-262088,CC#CCC(N)CO,0
EN300-305440,C#CC(N)C1CCCCO1,1
EN300-297355,C#CCC(O)CN,1
EN300-316069,C[Si](C)(C)C#CCN,0
EN300-322864,C#CCC(N)COC,1
EN300-333309,C#CCC(O)CCN,1
EN300-370578,C#Cc1ccc(OC)c(N)c1,1
EN300-373956,C#CC1(N)CC1,1
EN300-366692,C#Cc1cccc(C(C)(C)N)c1,1
EN300-384633,C#CCC1(N)CCOCC1,1
EN300-127900,CC#CCCN,0
EN300-393397,C#CCN,1
EN300-34703,NCC#Cc1cccc(C(F)(F)F)c1,0
EN300-378711,C#Cc1ccc(N)c(F)c1,1
EN300-396179,C#CCN1CCC(N)CC1,1
EN300-399441,C#CC1(CN)CC1,1
EN300-72142,C#CC(C)(C)N,1
EN300-378094,C#CC1(N)CCCC1,1
EN300-383851,C#CC[C@H](N)C(=O)Nc1nn[nH]n1,1
EN300-716074,C#CCC1(N)CCCCC1,1
EN300-706140,C#CCC1(N)CCC1,1
EN300-703002,CCC#CCN,0
EN300-85313,C#Cc1ccc(N)cc1,1
EN300-33336016,C#CC1(N)COC1,1
EN300-120045,C#Cc1c(F)c(F)c(N)c(F)c1F,1
EN300-192531,C#Cc1ccc(N)nc1,1
EN300-1255966,C#CCOc1ccc(N)c(C)c1,1
EN300-37080388,C#CC(CN)OC,1
EN300-33837876,C#Cc1cccc(Cc2cnc(N)s2)c1,1
