ID,SMILES,MW
EN300-18074,CC(=O)O,60.05
EN300-99203,CC(=O)[O-].[Li+],65.99
EN300-21202,C#CC(=O)O,70.05
EN300-17959,C=CC(=O)O,72.06
EN300-19540,CCC(=O)O,74.08
EN300-19242,O=C(O)CO,76.05
EN300-31599,CC(=O)[O-].[NH4+],77.08
EN300-21631,CC(=O)[O-].[Na+],82.03
EN300-97486,C#CCC(=O)O,84.07
EN300-91328,CC#CC(=O)O,84.07
EN300-1067093,C=C=CC(=O)O,84.07
EN300-19926,N#CCC(=O)O,85.06
EN300-19267,C=CCC(=O)O,86.09
EN300-24829,C=C(C)C(=O)O,86.09
EN300-19907,CC=CC(=O)O,86.09
EN300-306935,C/C=C/C(=O)O,86.09
EN300-19510,O=C(O)C1CC1,86.09
EN300-367570,C/C=C\C(=O)O,86.09
EN300-21334,CCCC(=O)O,88.11
EN300-19272,CC(C)C(=O)O,88.11
EN300-113507,NC(=O)C(=O)O,89.05
EN300-104748,C=C(F)C(=O)O,90.05
EN300-77464,C[C@@H](O)C(=O)O,90.08
EN300-52134,O=C(O)CCO,90.08
EN300-19542,CC(O)C(=O)O,90.08
EN300-20233,COCC(=O)O,90.08
EN300-91905,C[C@H](O)C(=O)O,90.08
EN300-23826,O=C(O)C(O)O,92.05
EN300-97758,O=C(O)CCF,92.07
EN300-7572628,[2H]C([2H])([2H])OCC(=O)O,93.1
EN300-6492119,C=C(F)C(=O)[O-].[Li+],95.99
EN300-174199,C[C@@H](O)C(=O)[O-].[Li+],96.01
EN300-19507,O=C(O)C(F)F,96.03
EN300-1700105,N#C/C=C/C(=O)O,97.07
EN300-7447621,C=C=CCC(=O)O,98.1
EN300-140007,CCC#CC(=O)O,98.1
EN300-124479,O=C(O)C1=CCC1,98.1
EN300-148001,C=C1CC1C(=O)O,98.1
EN300-96997,O=C(O)C=C1CC1,98.1
EN300-118360,CC1=CC1C(=O)O,98.1
EN300-179310,CC#CCC(=O)O,98.1
EN300-115626,C#CCCC(=O)O,98.1
EN300-33471,CC(=O)[O-].[K+],98.14
